name,hair,feathers,eggs,milk,airborne,aquatic,backbone,breathes,fins,no of legs,tail,target
sole,0,0,1,0,0,1,1,0,1,0,1,fish
sparrow,0,1,1,0,1,0,1,1,0,2,1,bird
squirrel,1,0,0,1,0,0,1,1,0,2,1,mammal
starfish,0,0,1,0,0,1,0,0,0,5,0,mollusc
stingray,0,0,1,0,0,1,1,0,1,0,1,fish
swan,0,1,1,0,1,1,1,1,0,2,1,bird
termite,0,0,1,0,0,0,0,1,0,6,0,insect
toad,0,0,1,0,0,1,1,1,0,4,0,amphibian
tortoise,0,0,1,0,0,0,1,1,0,4,1,reptile
tuatara,0,0,1,0,0,0,1,1,0,4,1,reptile
tuna,0,0,1,0,0,1,1,0,1,0,1,fish
vampire,1,0,0,1,1,0,1,1,0,2,1,mammal
vole,1,0,0,1,0,0,1,1,0,4,1,mammal
vulture,0,1,1,0,1,0,1,1,0,2,1,bird
wallaby,1,0,0,1,0,0,1,1,0,2,1,mammal
wasp,1,0,1,0,1,0,0,1,0,6,0,insect
wolf,1,0,0,1,0,0,1,1,0,4,1,mammal
worm,0,0,1,0,0,0,0,1,0,0,0,mollusc
wren,0,1,1,0,1,0,1,1,0,2,1,bird
